"study_id","site_id","core_id","year","month","day","latitude","longitude","position_accuracy","position_method","position_notes","salinity_class","salinity_method","vegetation_class","vegetation_method","vegetation_notes","inundation_class","inundation_method","core_length_flag","country","admin_division","habitat","stocks_qual_code","dates_qual_code","max_depth"
"Beers_et_al_2023","Isla Cristobal","CR-F-1","2015","3","17",9.25242,-82.2363,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"167"
"Beers_et_al_2023","Isla Cristobal","CR-F-2","2015","3","17",9.25255,-82.23624,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"159"
"Beers_et_al_2023","Isla Cristobal","CR-F-3","2015","3","17",9.25242,-82.23635,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"177"
"Beers_et_al_2023","Isla Cristobal","CR-D-4","2015","3","17",9.2525,-82.24011,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"116"
"Beers_et_al_2023","Isla Cristobal","CR-D-5","2015","3","17",9.25233,-82.24022,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"82"
"Beers_et_al_2023","Isla Cristobal","CR-D-6","2015","3","17",9.25276,-82.23995,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","dwarf, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"267"
"Beers_et_al_2023","Isla_Colon","STRI-1","2015","4","2",9.35113,-82.25751,"3","other low resolution",NA,"saline","measurement","seagrass","field observation","Thalassia testudinum","low","field observation","core depth limited by length of corer","Panama","Bocas del Toro","seagrass","C2",NA,"34"
"Beers_et_al_2023","Isla_Colon","STRI-2","2015","4","2",9.35113,-82.25751,"3","other low resolution",NA,"saline","measurement","seagrass","field observation","Thalassia testudinum","low","field observation","core depth limited by length of corer","Panama","Bocas del Toro","seagrass","C2",NA,"79"
"Beers_et_al_2023","Isla_Colon","STRI-3","2015","4","2",9.35113,-82.25751,"3","other low resolution",NA,"saline","measurement","seagrass","field observation","Thalassia testudinum","low","field observation","core depth limited by length of corer","Panama","Bocas del Toro","seagrass","C2",NA,"37"
"Beers_et_al_2023","Isla_Popa","PO-F-1","2015","3","21",9.23148,-82.12135,"3","handheld",NA,"saline","measurement","scrub shrub","measurement","fringe, Rhizophora mangle","low","field observation","core depth represents deposit depth","Panama","Bocas del Toro","mangrove","C1",NA,"327"
